OSGIQ
LATEST_ANNOUNCEMENT_DT
5/14/1996
8/8/1996
11/7/1996
2/20/1997
5/13/1997
8/12/1997
11/11/1997
2/24/1998
5/12/1998
8/11/1998
11/10/1998
2/24/1999
5/11/1999
8/10/1999
11/9/1999
2/22/2000
5/9/2000
8/8/2000
11/2/2000
2/15/2001
5/8/2001
8/9/2001
11/13/2001
2/21/2002
5/7/2002
8/13/2002
11/12/2002
2/25/2003
5/13/2003
8/7/2003
10/28/2003
2/12/2004
5/6/2004
7/29/2004
10/27/2004
2/24/2005
5/5/2005
8/4/2005
11/3/2005
2/28/2006
5/2/2006
8/8/2006
11/2/2006
2/27/2007
4/24/2007
7/25/2007
10/29/2007
2/26/2008
4/29/2008
7/29/2008
10/30/2008
3/2/2009
5/4/2009
8/5/2009
11/2/2009
3/1/2010
5/4/2010
8/3/2010
11/2/2010
2/28/2011
5/3/2011
8/2/2011
11/1/2011
2/28/2012
5/1/2012
8/1/2012
8/26/2013
8/26/2013
9/30/2013
10/8/2013
11/12/2013
3/13/2014
5/12/2014
8/4/2014
1/11/2016
