CUREQ
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/16/1996
10/29/1996
2/3/1997
4/29/1997
7/29/1997
10/29/1997
2/10/1998
4/30/1998
7/30/1998
10/29/1998
2/18/1999
5/4/1999
8/4/1999
11/2/1999
2/15/2000
5/11/2000
8/2/2000
10/31/2000
3/16/2001
5/1/2001
7/31/2001
10/30/2001
2/12/2002
4/24/2002
7/25/2002
10/24/2002
2/12/2003
4/29/2003
7/31/2003
11/5/2003
2/25/2004
5/4/2004
8/4/2004
11/3/2004
3/2/2005
5/10/2005
8/10/2005
11/14/2005
4/11/2006
5/22/2006
