CUB
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/23/1996
12/11/1996
2/11/1997
5/12/1997
8/12/1997
12/16/1997
2/10/1998
5/14/1998
8/14/1998
12/17/1998
2/9/1999
5/13/1999
8/12/1999
12/8/1999
2/3/2000
5/15/2000
8/14/2000
12/22/2000
2/14/2001
5/14/2001
8/9/2001
12/13/2001
1/31/2002
5/1/2002
7/30/2002
12/9/2002
2/3/2003
5/6/2003
8/5/2003
12/2/2003
2/3/2004
5/5/2004
8/4/2004
12/9/2004
2/8/2005
5/10/2005
8/9/2005
12/14/2005
2/8/2006
5/9/2006
8/3/2006
12/7/2006
2/8/2007
5/3/2007
8/1/2007
12/6/2007
2/8/2008
5/7/2008
8/7/2008
12/4/2008
2/5/2009
5/7/2009
8/5/2009
12/9/2009
2/8/2010
5/6/2010
8/5/2010
12/9/2010
2/3/2011
5/5/2011
8/5/2011
11/22/2011
2/2/2012
5/3/2012
12/14/2012
12/14/2012
2/11/2013
5/2/2013
8/1/2013
12/5/2013
5/12/2014
5/12/2014
8/4/2014
11/25/2014
5/18/2015
5/18/2015
8/6/2015
11/23/2015
2/4/2016
05/02/2016
08/03/2016
11/21/2016
02/09/2017
05/01/2017
