SLPL
LATEST_ANNOUNCEMENT_DT
5/15/1996
7/31/1996
10/30/1996
1/30/1997
5/14/1997
7/30/1997
10/29/1997
1/28/1998
5/13/1998
7/29/1998
9/30/1998
12/31/1998
3/31/1999
6/30/1999
9/30/1999
12/31/1999
3/31/2000
6/30/2000
9/30/2000
12/31/2000
3/31/2001
