GND
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/22/1996
10/24/1996
2/18/1997
4/15/1997
7/22/1997
10/21/1997
2/10/1998
4/21/1998
7/21/1998
10/20/1998
