KIDBQ
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/31/1996
10/31/1996
2/6/1997
4/24/1997
7/31/1997
10/28/1997
2/2/1998
4/22/1998
7/30/1998
10/29/1998
1/28/1999
4/21/1999
7/29/1999
10/27/1999
2/9/2000
5/9/2000
7/26/2000
10/24/2000
2/8/2001
4/26/2001
7/25/2001
10/31/2001
2/7/2002
4/24/2002
7/29/2002
10/31/2002
2/11/2003
5/7/2003
7/30/2003
11/5/2003
2/11/2004
5/3/2004
8/9/2004
11/3/2004
3/31/2005
5/4/2005
8/3/2005
11/9/2005
4/24/2006
5/31/2006
8/9/2006
11/9/2006
3/30/2007
5/11/2007
8/9/2007
11/9/2007
4/1/2008
5/12/2008
8/18/2008
11/11/2008
3/31/2009
5/12/2009
8/6/2009
11/4/2009
3/26/2010
5/6/2010
8/5/2010
11/4/2010
4/1/2011
5/11/2011
8/16/2011
11/9/2011
3/30/2012
5/11/2012
8/14/2012
11/19/2012
4/16/2013
5/21/2013
8/15/2013
11/19/2013
4/15/2014
5/21/2014
