SXI
LATEST_ANNOUNCEMENT_DT
4/15/1996
8/21/1996
10/16/1996
1/21/1997
4/23/1997
8/21/1997
10/20/1997
1/21/1998
4/23/1998
8/20/1998
10/21/1998
1/20/1999
4/22/1999
8/19/1999
10/21/1999
1/20/2000
4/20/2000
8/17/2000
10/19/2000
1/25/2001
4/19/2001
8/16/2001
10/25/2001
1/24/2002
4/25/2002
8/15/2002
10/24/2002
1/23/2003
4/24/2003
8/14/2003
10/23/2003
1/22/2004
4/22/2004
8/19/2004
10/28/2004
1/27/2005
4/27/2005
8/25/2005
10/27/2005
1/26/2006
4/28/2006
8/30/2006
10/26/2006
2/1/2007
4/26/2007
8/30/2007
10/25/2007
2/4/2008
5/6/2008
8/27/2008
10/29/2008
1/29/2009
5/7/2009
8/20/2009
10/22/2009
1/28/2010
4/29/2010
8/26/2010
10/28/2010
1/28/2011
4/28/2011
9/7/2011
10/27/2011
2/13/2012
5/1/2012
8/28/2012
11/1/2012
2/1/2013
4/30/2013
8/27/2013
11/7/2013
2/3/2014
5/2/2014
8/27/2014
10/31/2014
2/3/2015
5/1/2015
8/25/2015
10/29/2015
2/2/2016
05/03/2016
08/25/2016
10/28/2016
02/03/2017
05/02/2017
