AXTI
LATEST_ANNOUNCEMENT_DT
7/23/1998
10/22/1998
1/28/1999
4/22/1999
8/5/1999
10/28/1999
3/22/2000
5/4/2000
8/10/2000
10/25/2000
2/7/2001
4/25/2001
7/25/2001
10/24/2001
2/6/2002
4/24/2002
7/24/2002
10/23/2002
2/5/2003
4/23/2003
7/23/2003
10/22/2003
2/4/2004
5/24/2004
7/21/2004
10/20/2004
2/9/2005
4/19/2005
7/25/2005
10/19/2005
2/15/2006
4/19/2006
8/2/2006
10/30/2006
2/28/2007
5/2/2007
8/1/2007
10/25/2007
2/26/2008
4/30/2008
7/30/2008
11/3/2008
2/25/2009
4/29/2009
7/30/2009
10/29/2009
2/23/2010
4/28/2010
7/29/2010
10/28/2010
2/23/2011
5/3/2011
7/27/2011
10/26/2011
2/23/2012
5/2/2012
8/1/2012
11/1/2012
2/25/2013
5/1/2013
7/31/2013
10/30/2013
2/25/2014
4/30/2014
7/31/2014
10/30/2014
2/23/2015
4/30/2015
7/30/2015
10/29/2015
2/24/2016
