OFG
LATEST_ANNOUNCEMENT_DT
4/10/1996
8/6/1996
10/10/1996
1/13/1997
4/11/1997
7/23/1997
10/14/1997
1/20/1998
4/13/1998
7/29/1998
10/7/1998
1/13/1999
4/8/1999
7/19/1999
10/14/1999
1/12/2000
4/27/2000
10/10/2000
11/9/2000
1/22/2001
5/1/2001
7/25/2001
10/23/2001
1/15/2002
4/15/2002
7/22/2002
10/15/2002
1/16/2003
4/15/2003
7/22/2003
10/22/2003
2/9/2004
4/26/2004
7/21/2004
10/21/2004
1/20/2005
4/27/2005
8/1/2005
8/31/2006
9/22/2006
11/1/2006
2/15/2007
5/3/2007
7/26/2007
10/29/2007
2/7/2008
5/6/2008
7/30/2008
11/13/2008
3/10/2009
4/23/2009
7/21/2009
10/22/2009
1/28/2010
4/20/2010
8/4/2010
11/4/2010
2/3/2011
4/29/2011
7/21/2011
10/25/2011
1/30/2012
4/23/2012
7/23/2012
10/24/2012
2/7/2013
4/25/2013
7/22/2013
10/28/2013
2/3/2014
4/28/2014
7/23/2014
10/23/2014
1/30/2015
4/24/2015
7/24/2015
10/23/2015
2/1/2016
04/22/2016
07/22/2016
10/21/2016
01/31/2017
04/28/2017
