FILE
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/23/1996
10/24/1996
2/10/1997
4/23/1997
7/23/1997
10/21/1997
2/3/1998
4/16/1998
7/16/1998
10/15/1998
1/26/1999
4/15/1999
7/19/1999
10/14/1999
1/25/2000
4/12/2000
7/13/2000
10/12/2000
1/23/2001
4/12/2001
7/18/2001
10/17/2001
1/28/2002
4/17/2002
7/17/2002
10/16/2002
1/29/2003
4/23/2003
7/23/2003
10/16/2003
1/22/2004
4/22/2004
7/19/2004
10/20/2004
1/24/2005
4/26/2005
7/19/2005
10/25/2005
1/26/2006
4/26/2006
7/26/2006
