ESE
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/12/1996
11/14/1996
2/11/1997
5/6/1997
8/7/1997
11/11/1997
2/12/1998
5/7/1998
8/6/1998
11/13/1998
2/9/1999
5/6/1999
8/5/1999
11/12/1999
2/3/2000
5/5/2000
8/11/2000
11/10/2000
2/8/2001
5/11/2001
8/10/2001
11/15/2001
2/5/2002
5/8/2002
8/7/2002
11/15/2002
2/6/2003
5/13/2003
8/12/2003
11/20/2003
2/5/2004
5/11/2004
8/10/2004
11/16/2004
2/4/2005
5/10/2005
8/9/2005
11/15/2005
2/1/2006
5/9/2006
8/8/2006
11/14/2006
2/5/2007
5/8/2007
8/7/2007
11/12/2007
2/7/2008
5/6/2008
8/7/2008
11/12/2008
2/5/2009
5/5/2009
8/4/2009
11/12/2009
2/4/2010
5/4/2010
8/3/2010
11/11/2010
2/3/2011
5/3/2011
8/2/2011
11/8/2011
2/7/2012
5/9/2012
8/9/2012
11/12/2012
2/7/2013
5/7/2013
8/8/2013
11/11/2013
2/6/2014
5/7/2014
8/7/2014
11/13/2014
2/9/2015
5/5/2015
8/10/2015
11/12/2015
2/9/2016
05/03/2016
08/02/2016
11/14/2016
02/07/2017
05/02/2017
