THRM
LATEST_ANNOUNCEMENT_DT
5/6/1996
8/19/1996
10/31/1996
4/1/1997
4/28/1997
8/8/1997
10/27/1997
3/10/1998
5/5/1998
7/28/1998
11/3/1998
2/2/1999
5/17/1999
8/17/1999
11/3/1999
3/27/2000
5/15/2000
8/11/2000
11/8/2000
4/20/2001
5/8/2001
8/3/2001
11/2/2001
3/21/2002
5/9/2002
8/13/2002
11/12/2002
3/17/2003
5/13/2003
8/13/2003
11/12/2003
3/17/2004
5/5/2004
8/4/2004
11/3/2004
3/16/2005
4/26/2005
8/10/2005
10/26/2005
3/9/2006
4/27/2006
7/26/2006
10/26/2006
2/14/2007
5/2/2007
8/6/2007
10/30/2007
2/12/2008
4/30/2008
8/6/2008
10/28/2008
2/10/2009
4/29/2009
8/5/2009
10/28/2009
2/10/2010
4/27/2010
8/4/2010
10/27/2010
2/17/2011
4/28/2011
8/9/2011
11/8/2011
3/12/2012
5/4/2012
8/2/2012
11/1/2012
3/6/2013
5/7/2013
8/1/2013
10/31/2013
3/5/2014
5/1/2014
8/1/2014
10/30/2014
2/24/2015
4/30/2015
7/29/2015
10/29/2015
2/19/2016
04/28/2016
07/28/2016
10/27/2016
02/21/2017
04/27/2017
