CANI
LATEST_ANNOUNCEMENT_DT
6/3/1998
8/27/1998
11/24/1998
3/22/1999
5/18/1999
8/17/1999
11/30/1999
3/7/2000
5/25/2000
9/12/2000
12/5/2000
3/13/2001
6/6/2001
9/14/2001
12/4/2001
3/12/2002
6/5/2002
9/12/2002
4/30/2003
4/30/2003
6/3/2003
9/10/2003
12/10/2003
3/16/2004
6/7/2004
8/31/2004
12/7/2004
3/15/2005
6/7/2005
9/8/2005
12/7/2005
5/1/2006
6/7/2006
9/7/2006
12/7/2006
