CBU
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/21/1997
4/17/1997
7/17/1997
10/15/1997
1/23/1998
4/21/1998
7/16/1998
10/22/1998
1/28/1999
4/19/1999
7/22/1999
10/21/1999
1/25/2000
4/17/2000
7/18/2000
10/18/2000
1/24/2001
4/25/2001
7/19/2001
10/23/2001
1/29/2002
4/18/2002
7/18/2002
10/17/2002
1/23/2003
4/24/2003
7/17/2003
10/20/2003
1/26/2004
4/22/2004
7/22/2004
10/25/2004
1/24/2005
4/20/2005
7/25/2005
10/21/2005
1/23/2006
4/24/2006
7/20/2006
10/23/2006
1/22/2007
4/24/2007
7/18/2007
10/22/2007
1/17/2008
4/24/2008
7/22/2008
10/20/2008
1/22/2009
4/23/2009
7/22/2009
10/22/2009
1/25/2010
4/26/2010
7/22/2010
10/26/2010
1/24/2011
4/26/2011
7/26/2011
10/25/2011
1/22/2012
4/24/2012
7/24/2012
10/23/2012
1/22/2013
4/23/2013
7/23/2013
10/22/2013
1/21/2014
4/22/2014
7/21/2014
10/20/2014
1/21/2015
4/20/2015
7/20/2015
10/22/2015
1/20/2016
04/25/2016
07/20/2016
10/26/2016
01/23/2017
04/24/2017
