DIAN
LATEST_ANNOUNCEMENT_DT
5/3/1996
7/30/1996
11/5/1996
2/27/1997
4/30/1997
7/24/1997
10/27/1997
2/20/1998
5/1/1998
7/30/1998
10/19/1998
2/25/1999
4/21/1999
7/23/1999
10/22/1999
2/24/2000
4/19/2000
7/21/2000
10/20/2000
2/16/2001
4/18/2001
7/19/2001
10/18/2001
2/21/2002
4/23/2002
7/18/2002
10/24/2002
