ENDP
LATEST_ANNOUNCEMENT_DT
3/30/2000
7/1/2000
10/1/2000
12/31/2000
5/14/2001
8/13/2001
11/13/2001
2/20/2002
4/25/2002
7/25/2002
10/24/2002
2/13/2003
4/24/2003
7/24/2003
10/23/2003
2/5/2004
4/21/2004
7/14/2004
10/14/2004
2/10/2005
4/21/2005
7/21/2005
10/20/2005
2/15/2006
4/20/2006
7/20/2006
10/19/2006
2/22/2007
4/27/2007
8/1/2007
11/1/2007
2/22/2008
4/30/2008
7/31/2008
10/30/2008
2/27/2009
4/29/2009
7/30/2009
10/29/2009
2/22/2010
4/30/2010
7/30/2010
11/1/2010
2/28/2011
4/28/2011
8/9/2011
10/27/2011
2/24/2012
5/1/2012
8/7/2012
11/5/2012
2/28/2013
5/7/2013
8/6/2013
11/5/2013
2/28/2014
5/1/2014
7/31/2014
11/5/2014
3/2/2015
5/11/2015
8/10/2015
11/05/2015
02/29/2016
05/05/2016
08/08/2016
11/08/2016
02/28/2017
05/04/2017
