ALEX
LATEST_ANNOUNCEMENT_DT
8/1/2012
11/8/2012
2/19/2013
5/9/2013
8/8/2013
11/7/2013
2/20/2014
5/8/2014
8/7/2014
11/5/2014
3/2/2015
5/7/2015
8/6/2015
11/05/2015
02/25/2016
05/05/2016
08/04/2016
10/27/2016
02/23/2017
