SMSI
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/23/1996
10/24/1996
2/5/1997
4/18/1997
7/22/1997
10/15/1997
2/10/1998
4/23/1998
7/21/1998
10/22/1998
2/9/1999
4/29/1999
7/27/1999
10/21/1999
2/8/2000
4/25/2000
7/25/2000
10/26/2000
2/8/2001
4/24/2001
7/19/2001
10/25/2001
2/7/2002
4/25/2002
7/25/2002
10/24/2002
2/13/2003
4/24/2003
7/17/2003
10/23/2003
2/5/2004
4/22/2004
7/21/2004
10/20/2004
2/9/2005
4/21/2005
8/9/2005
11/10/2005
2/21/2006
4/26/2006
7/26/2006
11/1/2006
2/28/2007
5/2/2007
8/1/2007
10/31/2007
3/5/2008
5/7/2008
8/5/2008
10/29/2008
3/5/2009
5/6/2009
8/3/2009
11/4/2009
2/24/2010
5/5/2010
8/4/2010
11/3/2010
2/24/2011
5/4/2011
8/2/2011
11/2/2011
2/22/2012
5/2/2012
8/1/2012
11/1/2012
2/13/2013
5/1/2013
7/31/2013
11/7/2013
3/6/2014
5/8/2014
7/30/2014
10/29/2014
2/24/2015
4/28/2015
7/27/2015
10/28/2015
3/8/2016
