BSG
LATEST_ANNOUNCEMENT_DT
5/6/1996
8/13/1996
10/30/1996
1/30/1997
4/29/1997
8/5/1997
10/21/1997
1/21/1998
4/23/1998
8/3/1998
10/21/1998
1/21/1999
4/21/1999
8/2/1999
10/21/1999
1/24/2000
4/19/2000
7/31/2000
10/23/2000
1/22/2001
4/19/2001
7/30/2001
10/23/2001
1/22/2002
4/17/2002
7/30/2002
10/21/2002
1/22/2003
4/22/2003
7/29/2003
10/21/2003
1/21/2004
4/22/2004
8/10/2004
10/26/2004
1/26/2005
5/12/2006
4/26/2006
7/25/2006
8/4/2006
8/30/2006
12/18/2006
2/2/2007
3/15/2007
5/16/2007
