TEN
LATEST_ANNOUNCEMENT_DT
4/29/1997
7/22/1997
10/21/1997
1/27/1998
4/21/1998
7/21/1998
10/21/1998
1/26/1999
4/29/1999
7/27/1999
10/25/1999
1/25/2000
4/25/2000
7/27/2000
10/24/2000
2/6/2001
4/24/2001
7/24/2001
10/24/2001
1/31/2002
4/23/2002
7/23/2002
10/22/2002
2/4/2003
4/22/2003
7/22/2003
10/21/2003
1/27/2004
4/20/2004
7/20/2004
10/20/2004
1/25/2005
4/21/2005
7/21/2005
10/25/2005
1/26/2006
4/27/2006
7/27/2006
10/24/2006
1/30/2007
4/26/2007
7/26/2007
10/30/2007
1/24/2008
4/24/2008
7/31/2008
11/4/2008
2/5/2009
4/30/2009
7/30/2009
10/29/2009
2/4/2010
4/29/2010
7/29/2010
10/28/2010
2/3/2011
5/3/2011
7/29/2011
10/28/2011
2/2/2012
4/30/2012
7/26/2012
10/25/2012
1/31/2013
4/29/2013
7/29/2013
10/28/2013
1/30/2014
4/28/2014
7/28/2014
10/27/2014
2/2/2015
4/27/2015
7/24/2015
10/23/2015
2/9/2016
