FSH
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/30/1996
10/30/1996
2/6/1997
5/2/1997
8/7/1997
11/11/1997
2/27/1998
5/8/1998
8/7/1998
11/9/1998
3/4/1999
5/13/1999
8/5/1999
11/3/1999
2/22/2000
5/9/2000
8/8/2000
11/9/2000
2/15/2001
4/26/2001
8/2/2001
11/1/2001
2/1/2002
5/1/2002
7/31/2002
11/4/2002
2/3/2003
4/30/2003
7/29/2003
10/29/2003
2/3/2004
4/28/2004
7/28/2004
11/3/2004
2/28/2005
5/9/2005
8/3/2005
11/8/2005
2/7/2006
5/1/2006
7/25/2006
10/23/2006
3/12/2007
