HUFCQ
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
10/15/1996
2/14/1997
4/15/1997
7/15/1997
10/17/1997
2/17/1998
4/14/1998
7/14/1998
10/14/1998
2/11/1999
4/20/1999
7/16/1999
10/19/1999
2/10/2000
4/14/2000
7/18/2000
10/17/2000
2/15/2001
4/17/2001
7/17/2001
10/16/2001
2/12/2002
4/16/2002
7/16/2002
11/13/2002
2/11/2003
4/16/2003
7/15/2003
10/15/2003
2/17/2004
