SOV
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/15/1996
10/22/1996
1/20/1997
4/15/1997
7/17/1997
10/20/1997
1/20/1998
4/22/1998
7/23/1998
10/16/1998
1/25/1999
4/20/1999
7/26/1999
10/18/1999
1/24/2000
4/19/2000
7/20/2000
10/19/2000
1/25/2001
4/19/2001
7/18/2001
10/18/2001
1/23/2002
4/18/2002
7/18/2002
10/14/2002
1/21/2003
4/15/2003
7/15/2003
10/14/2003
1/20/2004
4/20/2004
7/20/2004
10/19/2004
1/18/2005
4/19/2005
7/19/2005
10/18/2005
1/17/2006
4/18/2006
7/18/2006
10/17/2006
1/17/2007
4/18/2007
7/18/2007
10/17/2007
1/24/2008
4/23/2008
7/23/2008
10/13/2008
3/17/2009
5/11/2009
8/7/2009
11/9/2009
2/26/2010
5/7/2010
8/11/2010
11/10/2010
3/10/2011
5/12/2011
8/12/2011
11/14/2011
3/16/2012
5/11/2012
8/9/2012
11/9/2012
3/15/2013
5/10/2013
8/8/2013
11/8/2013
3/14/2014
5/15/2014
8/14/2014
11/17/2014
3/18/2015
5/13/2015
8/12/2015
11/13/2015
12/31/2015
