MCY
LATEST_ANNOUNCEMENT_DT
5/9/1994
8/8/1994
11/7/1994
2/8/1995
5/8/1995
8/7/1995
11/6/1995
2/12/1996
5/6/1996
8/5/1996
11/4/1996
2/14/1997
5/5/1997
8/4/1997
11/10/1997
2/13/1998
5/4/1998
7/27/1998
11/9/1998
2/12/1999
5/3/1999
8/2/1999
11/1/1999
2/4/2000
5/1/2000
7/31/2000
10/30/2000
2/5/2001
4/30/2001
7/30/2001
10/29/2001
2/4/2002
4/29/2002
7/29/2002
10/28/2002
2/10/2003
4/28/2003
7/28/2003
11/3/2003
2/9/2004
5/3/2004
8/2/2004
11/1/2004
2/7/2005
5/2/2005
8/1/2005
10/31/2005
2/13/2006
5/8/2006
8/7/2006
11/6/2006
2/12/2007
5/7/2007
8/6/2007
11/5/2007
2/11/2008
5/5/2008
8/4/2008
11/3/2008
2/9/2009
5/4/2009
8/3/2009
11/2/2009
2/8/2010
5/3/2010
8/2/2010
11/1/2010
2/7/2011
5/2/2011
8/1/2011
10/31/2011
2/6/2012
4/30/2012
7/30/2012
10/29/2012
2/4/2013
4/29/2013
7/29/2013
10/28/2013
2/10/2014
4/28/2014
7/28/2014
11/3/2014
2/9/2015
4/27/2015
8/3/2015
11/02/2015
02/08/2016
05/02/2016
08/01/2016
10/31/2016
02/06/2017
05/01/2017
