NLCS
LATEST_ANNOUNCEMENT_DT
5/23/1996
8/19/1996
11/20/1996
3/3/1997
5/20/1997
8/14/1997
11/18/1997
3/3/1998
5/19/1998
8/19/1998
11/18/1998
3/2/1999
5/19/1999
8/18/1999
11/17/1999
3/7/2000
5/18/2000
8/16/2000
