CHCO
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/16/1996
10/21/1996
1/22/1997
4/23/1997
7/23/1997
11/4/1997
2/5/1998
4/22/1998
7/22/1998
10/21/1998
2/5/1999
5/10/1999
7/30/1999
10/29/1999
2/7/2000
5/3/2000
7/28/2000
11/2/2000
1/31/2001
4/23/2001
7/13/2001
10/15/2001
1/23/2002
4/12/2002
7/12/2002
10/15/2002
1/21/2003
4/15/2003
7/16/2003
10/14/2003
1/20/2004
4/26/2004
7/19/2004
10/18/2004
1/25/2005
4/15/2005
7/20/2005
10/17/2005
1/23/2006
4/17/2006
7/24/2006
10/18/2006
1/22/2007
4/17/2007
7/23/2007
10/17/2007
1/23/2008
4/25/2008
7/23/2008
10/27/2008
1/27/2009
4/29/2009
7/27/2009
10/23/2009
1/21/2010
4/26/2010
7/22/2010
10/25/2010
1/24/2011
4/26/2011
8/8/2011
10/20/2011
1/23/2012
4/24/2012
7/27/2012
10/24/2012
1/29/2013
4/23/2013
7/23/2013
10/23/2013
1/28/2014
4/29/2014
7/22/2014
10/23/2014
1/26/2015
4/23/2015
7/23/2015
10/22/2015
1/25/2016
04/28/2016
07/28/2016
10/27/2016
01/23/2017
04/24/2017
