PTBTQ
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/16/1996
10/15/1996
1/22/1997
4/16/1997
7/15/1997
10/15/1997
1/22/1998
4/21/1998
7/15/1998
10/16/1998
1/28/1999
4/14/1999
7/15/1999
10/14/1999
1/20/2000
5/15/2000
7/18/2000
10/12/2000
1/17/2001
4/17/2001
7/19/2001
10/16/2001
1/22/2002
4/16/2002
7/18/2002
10/17/2002
1/23/2003
4/24/2003
7/24/2003
10/23/2003
1/22/2004
5/3/2004
7/30/2004
10/27/2004
3/11/2005
4/29/2005
7/28/2005
11/3/2005
3/31/2006
5/10/2006
8/3/2006
11/1/2006
4/3/2007
5/10/2007
8/9/2007
