PHTN
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/30/1996
10/29/1996
2/12/1997
4/28/1997
7/29/1997
10/28/1997
1/27/1998
4/23/1998
7/28/1998
10/22/1998
1/26/1999
4/19/1999
7/20/1999
10/19/1999
1/10/2000
4/18/2000
7/18/2000
10/24/2000
1/17/2001
4/18/2001
7/18/2001
10/24/2001
1/16/2002
4/16/2002
7/16/2002
10/22/2002
1/28/2003
4/15/2003
7/15/2003
10/29/2003
1/28/2004
4/28/2004
7/21/2004
10/27/2004
1/26/2005
8/9/2005
8/9/2005
11/8/2005
1/26/2006
4/26/2006
7/26/2006
11/2/2006
2/13/2007
5/7/2007
1/23/2008
1/23/2008
2/7/2008
5/1/2008
7/31/2008
