TCBI
LATEST_ANNOUNCEMENT_DT
12/31/1998
12/31/1999
3/31/2000
6/30/2000
9/30/2000
12/31/2000
5/11/2001
8/14/2001
11/13/2001
3/26/2002
5/13/2002
8/14/2002
11/21/2002
3/19/2003
5/14/2003
8/15/2003
10/22/2003
1/21/2004
4/21/2004
7/21/2004
10/20/2004
1/19/2005
4/20/2005
7/20/2005
10/20/2005
1/18/2006
4/19/2006
7/19/2006
10/18/2006
1/24/2007
4/18/2007
7/18/2007
10/17/2007
1/30/2008
4/16/2008
7/16/2008
10/22/2008
1/28/2009
4/22/2009
7/22/2009
10/21/2009
1/27/2010
4/21/2010
7/21/2010
10/20/2010
1/26/2011
4/20/2011
7/20/2011
10/19/2011
1/25/2012
4/25/2012
7/25/2012
10/24/2012
1/23/2013
4/24/2013
7/24/2013
10/23/2013
1/22/2014
4/23/2014
7/23/2014
10/22/2014
1/21/2015
4/22/2015
7/22/2015
10/21/2015
1/20/2016
04/20/2016
07/20/2016
10/20/2016
01/25/2017
04/19/2017
