ASNA
LATEST_ANNOUNCEMENT_DT
5/23/1996
9/17/1996
11/25/1996
2/26/1997
5/5/1997
9/10/1997
11/25/1997
2/24/1998
5/20/1998
9/10/1998
10/29/1998
2/18/1999
5/20/1999
9/15/1999
11/18/1999
2/17/2000
5/18/2000
9/14/2000
11/16/2000
2/14/2001
5/17/2001
9/13/2001
11/15/2001
2/14/2002
5/16/2002
9/18/2002
11/21/2002
2/12/2003
5/21/2003
9/17/2003
11/19/2003
2/11/2004
5/19/2004
9/22/2004
11/17/2004
3/21/2005
6/1/2005
10/11/2005
11/30/2005
3/7/2006
5/31/2006
9/26/2006
11/28/2006
2/28/2007
5/30/2007
9/18/2007
11/27/2007
2/27/2008
5/28/2008
9/17/2008
11/19/2008
2/18/2009
5/21/2009
9/16/2009
11/19/2009
3/1/2010
5/26/2010
9/15/2010
11/18/2010
3/2/2011
5/25/2011
9/14/2011
12/1/2011
3/1/2012
5/31/2012
9/19/2012
12/5/2012
3/4/2013
6/5/2013
9/24/2013
12/2/2013
3/3/2014
6/3/2014
9/22/2014
12/2/2014
3/3/2015
6/2/2015
9/16/2015
12/1/2015
3/1/2016
05/31/2016
09/19/2016
12/01/2016
03/06/2017
05/30/2017
