BEZ
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/14/1996
2/3/1997
4/14/1997
7/14/1997
10/9/1997
3/27/1998
4/20/1998
7/20/1998
10/19/1998
2/1/1999
4/16/1999
7/19/1999
10/18/1999
2/4/2000
4/13/2000
7/17/2000
10/12/2000
2/5/2001
4/16/2001
7/16/2001
10/15/2001
1/31/2002
4/12/2002
7/11/2002
10/10/2002
1/30/2003
4/10/2003
7/10/2003
10/9/2003
1/29/2004
4/15/2004
7/15/2004
10/14/2004
1/27/2005
4/14/2005
7/14/2005
10/13/2005
1/26/2006
4/13/2006
7/13/2006
10/12/2006
2/1/2007
5/3/2007
7/26/2007
10/25/2007
1/31/2008
4/23/2008
7/24/2008
10/23/2008
2/5/2009
4/29/2009
7/30/2009
10/29/2009
2/4/2010
4/28/2010
7/29/2010
10/27/2010
