FNFG
LATEST_ANNOUNCEMENT_DT
7/23/1998
10/21/1998
1/20/1999
4/8/1999
7/14/1999
10/13/1999
1/12/2000
4/12/2000
7/12/2000
10/11/2000
1/11/2001
4/11/2001
7/12/2001
10/10/2001
1/11/2002
4/11/2002
7/12/2002
10/10/2002
1/13/2003
4/10/2003
7/14/2003
10/9/2003
1/13/2004
4/20/2004
7/19/2004
10/18/2004
1/19/2005
4/15/2005
7/15/2005
10/14/2005
1/18/2006
4/13/2006
7/14/2006
10/13/2006
1/25/2007
4/24/2007
7/25/2007
10/26/2007
1/31/2008
4/24/2008
7/24/2008
10/22/2008
1/29/2009
4/13/2009
7/17/2009
10/29/2009
1/21/2010
4/26/2010
7/22/2010
10/21/2010
1/27/2011
4/21/2011
7/21/2011
10/20/2011
1/26/2012
4/19/2012
7/27/2012
10/19/2012
1/23/2013
4/19/2013
7/19/2013
10/18/2013
1/24/2014
4/24/2014
7/25/2014
10/24/2014
1/23/2015
4/24/2015
7/24/2015
10/23/2015
02/05/2016
04/29/2016
07/29/2016
