CAS
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
10/15/1996
1/21/1997
4/15/1997
7/16/1997
10/15/1997
1/20/1998
4/14/1998
7/14/1998
10/13/1998
1/19/1999
4/14/1999
7/14/1999
10/13/1999
1/19/2000
4/19/2000
7/19/2000
10/18/2000
1/24/2001
4/20/2001
7/19/2001
10/18/2001
1/25/2002
4/26/2002
7/26/2002
10/25/2002
2/5/2003
5/6/2003
8/5/2003
11/4/2003
2/24/2004
5/4/2004
8/3/2004
11/2/2004
3/15/2005
5/10/2005
8/2/2005
11/1/2005
3/13/2006
5/5/2006
8/1/2006
10/31/2006
3/8/2007
5/1/2007
7/31/2007
10/26/2007
3/10/2008
4/29/2008
7/29/2008
10/28/2008
3/10/2009
4/28/2009
7/28/2009
10/27/2009
3/10/2010
4/27/2010
7/29/2010
11/5/2010
3/8/2011
5/6/2011
8/2/2011
11/1/2011
3/1/2012
5/1/2012
7/31/2012
11/1/2012
2/26/2013
4/30/2013
7/30/2013
10/29/2013
2/25/2014
4/29/2014
7/29/2014
10/28/2014
2/27/2015
4/28/2015
8/4/2015
11/5/2015
3/14/2016
