TECH
LATEST_ANNOUNCEMENT_DT
4/22/1996
8/15/1996
10/24/1996
1/28/1997
4/22/1997
8/12/1997
10/23/1997
2/3/1998
4/28/1998
8/11/1998
10/22/1998
2/2/1999
4/26/1999
8/10/1999
10/21/1999
2/8/2000
4/25/2000
8/15/2000
10/24/2000
1/30/2001
5/1/2001
8/14/2001
10/18/2001
1/29/2002
4/23/2002
8/13/2002
10/24/2002
1/28/2003
5/1/2003
8/12/2003
10/23/2003
1/27/2004
4/27/2004
8/10/2004
10/21/2004
2/1/2005
4/26/2005
8/16/2005
10/28/2005
1/31/2006
4/25/2006
8/8/2006
10/25/2006
1/30/2007
5/1/2007
8/7/2007
10/24/2007
1/29/2008
4/29/2008
8/5/2008
10/22/2008
2/3/2009
4/28/2009
8/4/2009
10/28/2009
2/2/2010
5/4/2010
8/3/2010
10/26/2010
2/1/2011
5/3/2011
8/2/2011
10/25/2011
1/31/2012
5/1/2012
7/31/2012
10/23/2012
2/5/2013
4/30/2013
8/6/2013
10/29/2013
2/4/2014
4/28/2014
8/11/2014
10/28/2014
2/3/2015
5/5/2015
8/6/2015
10/28/2015
2/2/2016
05/03/2016
08/17/2016
10/31/2016
02/07/2017
05/02/2017
