OII
LATEST_ANNOUNCEMENT_DT
5/22/1996
8/5/1996
11/5/1996
2/10/1997
5/15/1997
8/5/1997
11/5/1997
2/10/1998
5/19/1998
8/5/1998
11/4/1998
2/8/1999
5/18/1999
5/17/2000
8/7/2000
11/6/2000
2/14/2001
5/3/2001
7/31/2001
10/31/2001
2/13/2002
4/30/2002
7/26/2002
11/5/2002
2/19/2003
5/6/2003
8/11/2003
11/10/2003
2/18/2004
5/3/2004
8/3/2004
11/2/2004
2/22/2005
4/28/2005
7/28/2005
10/31/2005
2/21/2006
5/4/2006
8/2/2006
10/31/2006
2/21/2007
5/1/2007
8/1/2007
11/1/2007
2/20/2008
4/30/2008
7/30/2008
10/30/2008
2/18/2009
4/29/2009
7/29/2009
10/28/2009
2/17/2010
4/28/2010
7/28/2010
10/26/2010
2/16/2011
4/27/2011
7/27/2011
10/26/2011
2/15/2012
4/25/2012
7/25/2012
10/29/2012
2/13/2013
4/23/2013
7/24/2013
10/28/2013
2/18/2014
4/23/2014
7/23/2014
10/29/2014
2/11/2015
4/22/2015
7/22/2015
10/28/2015
2/10/2016
04/25/2016
07/21/2016
10/27/2016
02/08/2017
04/24/2017
