FTUSQ
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/27/1996
12/10/1996
5/2/1997
5/23/1997
9/4/1997
12/4/1997
4/8/1998
6/16/1998
9/4/1998
12/7/1998
3/29/1999
5/25/1999
8/17/1999
11/11/1999
2/29/2000
5/11/2000
8/10/2000
11/9/2000
2/27/2001
5/16/2001
8/15/2001
11/14/2001
2/27/2002
5/15/2002
8/14/2002
11/13/2002
2/26/2003
5/14/2003
8/13/2003
11/12/2003
4/30/2004
6/10/2004
