SUG
LATEST_ANNOUNCEMENT_DT
4/16/1996
8/1/1996
11/6/1996
1/16/1997
4/29/1997
8/14/1997
10/16/1997
1/22/1998
4/16/1998
8/14/1998
10/15/1998
1/28/1999
4/16/1999
8/12/1999
10/18/1999
1/25/2000
4/27/2000
8/2/2000
10/25/2000
1/29/2001
4/25/2001
8/8/2001
10/31/2001
1/31/2002
5/1/2002
8/7/2002
10/31/2002
1/30/2003
4/30/2003
8/6/2003
11/14/2003
2/4/2004
5/14/2004
3/16/2005
5/9/2005
8/9/2005
11/9/2005
3/14/2006
5/10/2006
8/7/2006
11/9/2006
3/1/2007
5/10/2007
8/9/2007
11/9/2007
2/29/2008
5/8/2008
8/7/2008
11/10/2008
2/26/2009
5/11/2009
8/6/2009
11/5/2009
3/1/2010
5/7/2010
8/5/2010
11/4/2010
2/25/2011
5/9/2011
8/9/2011
11/8/2011
2/24/2012
5/9/2012
8/8/2012
11/8/2012
3/1/2013
5/9/2013
8/8/2013
11/7/2013
