GON
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/17/1996
1/30/1997
4/23/1997
7/17/1997
10/16/1997
1/30/1998
4/23/1998
7/22/1998
10/20/1998
1/28/1999
4/28/1999
7/28/1999
10/27/1999
1/27/2000
5/3/2000
7/26/2000
