FGHLQ
LATEST_ANNOUNCEMENT_DT
8/5/1997
10/29/1997
2/12/1998
4/28/1998
7/27/1998
10/26/1998
2/10/1999
4/26/1999
7/26/1999
11/15/1999
3/30/2000
5/15/2000
8/7/2000
11/13/2000
4/2/2001
5/21/2001
8/14/2001
11/14/2001
4/16/2002
5/15/2002
8/14/2002
11/14/2002
