AICOQ
LATEST_ANNOUNCEMENT_DT
3/13/1996
6/12/1996
10/9/1996
12/12/1996
3/18/1997
6/17/1997
10/17/1997
12/18/1997
3/25/1998
6/18/1998
10/15/1998
12/17/1998
3/19/1999
6/25/1999
10/20/1999
12/15/1999
3/23/2000
6/27/2000
10/26/2000
12/20/2000
3/23/2001
6/26/2001
10/17/2001
12/17/2001
3/26/2002
6/25/2002
10/16/2002
12/16/2002
3/26/2003
7/14/2003
10/14/2003
12/16/2003
3/23/2004
6/29/2004
