IMD
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/21/1996
2/20/1997
4/17/1997
7/17/1997
11/14/1997
3/30/1998
5/13/1998
4/1/1999
5/17/1999
8/16/1999
11/16/1999
3/30/2000
5/15/2000
8/14/2000
11/1/2000
4/16/2001
