ITSI
LATEST_ANNOUNCEMENT_DT
5/6/1996
7/30/1996
11/13/1996
3/27/1997
5/2/1997
8/12/1997
11/5/1997
3/26/1998
5/14/1998
8/14/1998
11/5/1998
3/11/1999
5/14/1999
8/11/1999
11/12/1999
3/31/2000
5/15/2000
8/10/2000
11/20/2000
3/29/2001
6/14/2001
9/14/2001
12/14/2001
3/18/2002
7/29/2002
9/13/2002
12/13/2002
3/14/2003
9/4/2003
9/19/2003
12/19/2003
3/16/2004
7/29/2004
9/14/2004
12/14/2004
3/15/2005
7/29/2005
9/14/2005
12/15/2005
3/17/2006
7/26/2006
9/14/2006
12/15/2006
3/17/2007
7/30/2007
9/14/2007
12/17/2007
3/14/2008
7/14/2008
9/12/2008
12/12/2008
3/16/2009
7/8/2009
9/11/2009
12/11/2009
3/12/2010
7/8/2010
9/13/2010
12/15/2010
3/16/2011
7/8/2011
9/14/2011
12/15/2011
3/13/2012
7/6/2012
9/12/2012
12/14/2012
3/13/2013
7/9/2013
9/12/2013
12/12/2013
3/13/2014
7/11/2014
9/12/2014
12/12/2014
