CRI
LATEST_ANNOUNCEMENT_DT
3/29/2001
3/29/2003
11/17/2003
2/24/2004
4/27/2004
7/28/2004
10/26/2004
2/22/2005
4/26/2005
7/26/2005
10/25/2005
2/22/2006
4/25/2006
7/25/2006
10/24/2006
2/20/2007
4/24/2007
7/24/2007
10/23/2007
2/26/2008
4/22/2008
7/22/2008
10/21/2008
2/24/2009
4/28/2009
7/29/2010
1/15/2010
2/25/2010
4/28/2010
7/29/2010
10/28/2010
3/2/2011
4/28/2011
7/28/2011
10/27/2011
2/29/2012
4/26/2012
7/25/2012
10/25/2012
2/27/2013
4/25/2013
7/25/2013
10/24/2013
2/26/2014
4/28/2014
7/24/2014
10/23/2014
2/26/2015
4/29/2015
7/29/2015
10/29/2015
2/25/2016
04/28/2016
07/27/2016
10/27/2016
02/23/2017
04/27/2017
