SNCR
LATEST_ANNOUNCEMENT_DT
7/31/2006
11/7/2006
2/6/2007
4/26/2007
7/26/2007
10/25/2007
2/4/2008
5/6/2008
8/5/2008
11/5/2008
2/5/2009
5/6/2009
7/30/2009
11/2/2009
2/4/2010
5/3/2010
8/2/2010
11/2/2010
2/7/2011
5/3/2011
8/1/2011
11/1/2011
2/7/2012
5/7/2012
8/1/2012
11/5/2012
2/7/2013
5/1/2013
7/30/2013
11/4/2013
2/5/2014
4/30/2014
7/29/2014
10/28/2014
2/5/2015
4/29/2015
7/29/2015
10/28/2015
2/3/2016
05/05/2016
08/03/2016
11/07/2016
02/08/2017
05/04/2017
