SCHSQ
LATEST_ANNOUNCEMENT_DT
6/25/1998
9/1/1998
12/1/1998
3/1/1999
6/8/1999
8/19/1999
11/9/1999
2/8/2000
6/6/2000
8/15/2000
11/14/2000
2/13/2001
6/5/2001
8/14/2001
11/13/2001
2/12/2002
6/4/2002
8/13/2002
11/12/2002
2/11/2003
6/3/2003
8/12/2003
11/11/2003
2/10/2004
6/8/2004
8/10/2004
11/9/2004
2/8/2005
6/7/2005
8/16/2005
11/15/2005
2/14/2006
6/6/2006
8/15/2006
11/14/2006
2/13/2007
6/5/2007
8/14/2007
11/13/2007
2/21/2008
6/12/2008
8/21/2008
11/20/2008
2/19/2009
6/11/2009
8/20/2009
11/19/2009
2/18/2010
6/10/2010
8/19/2010
11/18/2010
2/17/2011
6/16/2011
8/25/2011
11/22/2011
2/23/2012
6/14/2012
8/23/2012
11/20/2012
3/7/2013
8/7/2013
9/16/2013
