TYPE
LATEST_ANNOUNCEMENT_DT
7/27/2007
8/15/2007
11/9/2007
2/26/2008
5/12/2008
8/12/2008
11/12/2008
3/3/2009
5/5/2009
7/31/2009
11/3/2009
3/4/2010
5/4/2010
7/30/2010
11/2/2010
2/17/2011
5/3/2011
7/29/2011
11/1/2011
2/16/2012
5/1/2012
7/27/2012
10/30/2012
2/14/2013
5/1/2013
7/26/2013
10/31/2013
2/13/2014
5/1/2014
7/28/2014
10/31/2014
2/12/2015
5/1/2015
7/29/2015
10/30/2015
2/11/2016
04/29/2016
07/27/2016
10/28/2016
02/17/2017
05/05/2017
