MDTH
LATEST_ANNOUNCEMENT_DT
12/31/2000
3/31/2001
8/20/2001
11/13/2001
2/7/2002
5/7/2002
8/13/2002
11/11/2002
2/6/2003
5/8/2003
8/6/2003
11/20/2003
2/5/2004
5/6/2004
8/12/2004
11/18/2004
2/3/2005
5/5/2005
8/4/2005
11/17/2005
2/9/2006
5/4/2006
8/3/2006
12/14/2006
2/8/2007
5/10/2007
8/2/2007
11/13/2007
2/7/2008
5/6/2008
8/6/2008
11/13/2008
2/4/2009
5/21/2009
8/5/2009
11/11/2009
2/3/2010
5/5/2010
8/9/2010
11/23/2010
2/9/2011
5/9/2011
8/9/2011
12/14/2011
2/9/2012
5/10/2012
8/9/2012
