GEOI
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/13/1996
11/12/1996
3/20/1997
5/14/1997
8/14/1997
11/11/1997
3/30/1998
8/20/1998
11/9/1998
3/31/1999
5/18/1999
8/11/1999
11/15/1999
3/29/2000
5/8/2000
8/14/2000
11/15/2000
3/20/2001
3/31/2001
8/14/2001
11/14/2001
4/1/2002
5/14/2002
8/14/2002
11/20/2002
3/31/2003
5/15/2003
8/14/2003
11/17/2003
3/30/2004
5/14/2004
8/16/2004
11/17/2004
3/4/2005
5/13/2005
8/11/2005
11/14/2005
3/30/2006
5/15/2006
8/11/2006
11/14/2006
3/30/2007
5/11/2007
8/13/2007
11/12/2007
3/28/2008
5/12/2008
8/11/2008
11/10/2008
3/25/2009
5/8/2009
8/6/2009
11/5/2009
3/11/2010
5/7/2010
8/5/2010
11/4/2010
3/9/2011
5/9/2011
8/9/2011
11/8/2011
3/14/2012
5/9/2012
8/9/2012
