1310350D
LATEST_ANNOUNCEMENT_DT
6/5/1996
8/22/1996
11/26/1996
2/27/1997
6/4/1997
8/27/1997
11/25/1997
2/24/1998
6/3/1998
8/25/1998
11/24/1998
2/23/1999
6/3/1999
8/24/1999
11/23/1999
2/23/2000
6/6/2000
8/30/2000
11/21/2000
2/22/2001
6/6/2001
8/28/2001
11/28/2001
2/26/2002
6/5/2002
8/27/2002
11/26/2002
3/24/2003
7/28/2003
9/10/2003
11/25/2003
3/16/2004
7/29/2004
9/22/2004
1/12/2005
3/17/2005
7/28/2005
9/15/2005
12/20/2005
3/15/2006
7/13/2006
2/1/2007
2/2/2007
3/29/2007
7/12/2007
9/11/2007
12/6/2007
3/6/2008
7/9/2008
9/4/2008
12/5/2008
3/12/2009
6/25/2009
9/8/2009
12/3/2009
3/9/2010
7/1/2010
9/7/2010
12/2/2010
3/3/2011
6/22/2011
9/1/2011
12/8/2011
3/1/2012
6/27/2012
8/29/2012
12/6/2012
3/11/2013
7/30/2013
9/9/2013
12/4/2013
