TRCDQ
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/18/1996
10/16/1996
2/12/1997
5/7/1997
8/12/1997
10/21/1997
1/22/1998
4/23/1998
7/21/1998
10/14/1998
2/2/1999
4/22/1999
8/10/1999
11/2/1999
3/3/2000
5/4/2000
7/27/2000
10/25/2000
1/25/2001
4/30/2001
7/26/2001
10/30/2001
1/28/2002
4/30/2002
8/2/2002
