ROVI
LATEST_ANNOUNCEMENT_DT
4/28/1997
7/28/1997
10/27/1997
2/17/1998
4/27/1998
7/27/1998
10/26/1998
2/8/1999
4/26/1999
7/26/1999
10/26/1999
2/14/2000
5/1/2000
7/31/2000
10/30/2000
2/20/2001
4/30/2001
7/30/2001
10/29/2001
2/25/2002
4/29/2002
7/29/2002
10/28/2002
2/24/2003
4/28/2003
7/28/2003
10/27/2003
3/1/2004
5/3/2004
8/2/2004
11/1/2004
2/28/2005
5/2/2005
8/1/2005
11/2/2005
2/15/2006
5/2/2006
8/1/2006
11/2/2006
2/13/2007
5/8/2007
8/7/2007
11/6/2007
2/21/2008
5/7/2008
8/7/2008
11/6/2008
2/10/2009
5/6/2009
8/6/2009
11/5/2009
2/11/2010
5/6/2010
7/29/2010
10/28/2010
2/15/2011
5/10/2011
8/2/2012
11/1/2011
2/13/2012
5/3/2012
8/2/2012
11/1/2012
2/13/2013
5/1/2013
7/31/2013
10/30/2013
2/12/2014
4/30/2014
7/30/2014
11/6/2014
2/19/2015
4/30/2015
7/30/2015
10/28/2015
2/11/2016
04/28/2016
07/28/2016
10/26/2016
