RUE
LATEST_ANNOUNCEMENT_DT
12/8/2009
3/16/2010
5/26/2010
8/25/2010
12/1/2010
3/15/2011
5/26/2011
8/24/2011
11/30/2011
3/14/2012
5/24/2012
8/23/2012
11/28/2012
3/21/2013
6/5/2013
9/12/2013
