GWR
LATEST_ANNOUNCEMENT_DT
2/14/1997
4/28/1997
7/28/1997
10/31/1997
2/13/1998
4/29/1998
8/4/1998
11/2/1998
2/16/1999
5/3/1999
8/2/1999
11/8/1999
2/14/2000
5/1/2000
8/1/2000
11/1/2000
2/15/2001
5/1/2001
8/1/2001
10/30/2001
2/14/2002
4/30/2002
8/1/2002
10/30/2002
2/13/2003
4/30/2003
7/29/2003
10/30/2003
2/11/2004
5/3/2004
8/3/2004
11/2/2004
2/15/2005
5/2/2005
8/2/2005
11/1/2005
2/14/2006
5/2/2006
8/1/2006
11/1/2006
2/13/2007
5/1/2007
8/1/2007
11/1/2007
2/13/2008
4/29/2008
8/4/2008
11/3/2008
2/11/2009
4/29/2009
7/30/2009
11/3/2009
2/8/2010
4/29/2010
8/3/2010
11/2/2010
2/8/2011
4/28/2011
8/2/2011
11/1/2011
2/8/2012
5/1/2012
8/2/2012
11/5/2012
2/12/2013
5/1/2013
8/1/2013
11/1/2013
2/11/2014
5/1/2014
8/1/2014
10/31/2014
2/10/2015
5/1/2015
8/3/2015
10/30/2015
02/09/2016
04/28/2016
08/01/2016
11/01/2016
02/08/2017
04/27/2017
