SALDQ
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/17/1996
10/9/1996
2/19/1997
4/24/1997
7/10/1997
10/8/1997
2/18/1998
4/22/1998
7/15/1998
10/7/1998
2/17/1999
4/21/1999
7/14/1999
10/6/1999
2/16/2000
4/19/2000
7/12/2000
10/4/2000
2/22/2001
4/25/2001
7/18/2001
10/10/2001
2/21/2002
4/24/2002
7/10/2002
10/2/2002
2/20/2003
4/17/2003
7/10/2003
10/2/2003
2/19/2004
4/15/2004
7/28/2004
10/20/2004
