WZR
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/13/1996
11/15/1996
2/27/1997
5/8/1997
8/14/1997
11/12/1997
2/23/1998
5/15/1998
8/10/1998
11/9/1998
2/26/1999
5/13/1999
8/11/1999
11/10/1999
2/24/2000
5/15/2000
8/14/2000
11/10/2000
2/14/2001
5/9/2001
8/8/2001
11/7/2001
2/15/2002
5/14/2002
8/12/2002
11/12/2002
2/19/2003
5/7/2003
8/13/2003
11/12/2003
2/24/2004
5/12/2004
