SUPN
LATEST_ANNOUNCEMENT_DT
12/23/2010
12/30/2011
12/30/2011
4/11/2012
6/7/2012
8/10/2012
11/2/2012
3/14/2013
5/13/2013
8/13/2013
11/12/2013
3/12/2014
5/12/2014
8/11/2014
11/11/2014
3/10/2015
5/5/2015
8/4/2015
11/3/2015
3/2/2016
05/03/2016
08/02/2016
01/03/2017
02/28/2017
05/02/2017
