ATU
LATEST_ANNOUNCEMENT_DT
3/20/1996
6/20/1996
10/2/1996
12/19/1996
3/19/1997
6/24/1997
10/7/1997
12/18/1997
3/19/1998
6/23/1998
10/6/1998
12/17/1998
3/18/1999
6/22/1999
10/4/1999
12/16/1999
3/17/2000
6/16/2000
10/3/2000
12/20/2000
3/21/2001
6/20/2001
10/4/2001
12/19/2001
3/20/2002
6/18/2002
10/2/2002
12/18/2002
3/19/2003
6/18/2003
10/1/2003
12/17/2003
3/17/2004
6/17/2004
9/30/2004
12/16/2004
3/17/2005
6/16/2005
9/29/2005
12/21/2005
3/22/2006
6/20/2006
9/27/2006
12/20/2006
3/22/2007
6/19/2007
9/26/2007
12/19/2007
3/19/2008
6/19/2008
10/1/2008
12/18/2008
3/18/2009
6/17/2009
9/30/2009
12/17/2009
3/17/2010
6/17/2010
9/29/2010
12/16/2010
3/17/2011
6/16/2011
9/28/2011
12/21/2011
3/21/2012
6/20/2012
9/27/2012
12/19/2012
3/20/2013
6/19/2013
10/1/2013
12/19/2013
3/19/2014
6/18/2014
10/2/2014
12/18/2014
3/18/2015
6/17/2015
9/30/2015
12/17/2015
3/16/2016
06/15/2016
09/28/2016
12/21/2016
03/15/2017
