DIN
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/25/1996
10/24/1996
2/21/1997
4/29/1997
7/30/1997
10/29/1997
2/19/1998
4/30/1998
7/29/1998
10/29/1998
2/18/1999
4/29/1999
7/29/1999
10/26/1999
2/23/2000
4/27/2000
7/27/2000
10/31/2000
2/22/2001
4/30/2001
7/31/2001
10/30/2001
2/28/2002
4/25/2002
7/30/2002
10/29/2002
2/26/2003
5/8/2003
8/7/2003
10/23/2003
2/26/2004
4/22/2004
7/22/2004
10/21/2004
2/24/2005
4/28/2005
7/28/2005
10/27/2005
2/22/2006
4/26/2006
7/26/2006
10/25/2006
2/21/2007
4/25/2007
7/25/2007
10/23/2007
2/27/2008
4/28/2008
7/29/2008
10/27/2008
2/25/2009
4/28/2009
7/28/2009
10/27/2009
3/3/2010
5/4/2010
7/29/2010
11/2/2010
3/3/2011
5/3/2011
8/2/2011
11/3/2011
3/1/2012
5/1/2012
7/31/2012
10/30/2012
2/27/2013
5/2/2013
7/30/2013
10/29/2013
2/26/2014
5/1/2014
7/29/2014
10/28/2014
2/25/2015
4/30/2015
7/29/2015
10/29/2015
2/24/2016
05/05/2016
08/03/2016
11/01/2016
03/01/2017
05/04/2017
