BIRS
LATEST_ANNOUNCEMENT_DT
4/17/1996
8/7/1996
10/16/1996
1/15/1997
4/15/1997
8/13/1997
10/14/1997
1/14/1998
4/15/1998
8/12/1998
10/13/1998
1/20/1999
4/21/1999
9/15/1999
10/14/1999
2/17/2000
5/1/2000
8/16/2000
10/20/2000
2/21/2001
5/14/2001
10/8/2001
10/23/2001
2/19/2002
5/20/2002
10/15/2002
10/31/2002
