INGR
LATEST_ANNOUNCEMENT_DT
4/21/1998
7/23/1998
10/22/1998
2/4/1999
4/22/1999
7/22/1999
10/14/1999
1/21/2000
4/18/2000
7/18/2000
10/17/2000
1/23/2001
4/17/2001
7/17/2001
10/16/2001
1/24/2002
4/18/2002
7/23/2002
10/22/2002
1/28/2003
4/22/2003
7/22/2003
10/21/2003
1/29/2004
4/20/2004
7/29/2004
10/19/2004
1/25/2005
4/19/2005
7/19/2005
10/18/2005
1/30/2006
4/27/2006
7/25/2006
10/24/2006
1/30/2007
4/24/2007
7/24/2007
10/30/2007
2/5/2008
4/22/2008
7/22/2008
10/24/2008
2/2/2009
4/28/2009
7/28/2009
10/27/2009
2/2/2010
4/27/2010
7/27/2010
10/28/2010
2/17/2011
5/2/2011
7/28/2011
10/27/2011
2/9/2012
5/1/2012
7/31/2012
10/25/2012
2/7/2013
5/2/2013
7/31/2013
10/30/2013
2/6/2014
4/30/2014
7/30/2014
10/30/2014
1/30/2015
4/30/2015
7/30/2015
10/29/2015
1/28/2016
04/28/2016
07/28/2016
11/02/2016
02/02/2017
04/27/2017
