SMTC
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/12/1996
11/12/1996
2/11/1997
5/12/1997
8/18/1997
11/18/1997
2/18/1998
5/26/1998
8/25/1998
11/23/1998
2/23/1999
5/25/1999
8/24/1999
11/22/1999
2/24/2000
5/22/2000
8/22/2000
11/16/2000
2/22/2001
5/22/2001
8/21/2001
11/19/2001
2/26/2002
5/21/2002
8/27/2002
11/25/2002
2/25/2003
5/27/2003
8/26/2003
11/24/2003
2/24/2004
5/25/2004
8/24/2004
11/29/2004
3/1/2005
5/31/2005
8/30/2005
11/29/2005
3/6/2006
5/30/2006
3/29/2007
3/29/2007
4/13/2007
5/30/2007
8/28/2007
11/27/2007
3/4/2008
5/21/2008
8/20/2008
11/19/2008
3/4/2009
5/20/2009
8/19/2009
11/18/2009
3/10/2010
5/26/2010
8/25/2010
12/1/2010
3/9/2011
5/25/2011
8/24/2011
11/30/2011
3/7/2012
5/24/2012
8/22/2012
11/28/2012
3/6/2013
5/22/2013
8/21/2013
11/18/2013
3/5/2014
5/21/2014
8/20/2014
11/19/2014
3/4/2015
5/27/2015
8/19/2015
11/18/2015
3/2/2016
06/01/2016
08/31/2016
11/30/2016
03/08/2017
