EGHT
LATEST_ANNOUNCEMENT_DT
7/25/1997
10/22/1997
1/19/1998
5/7/1998
7/22/1998
10/21/1998
1/27/1999
5/13/1999
7/15/1999
10/21/1999
1/27/2000
5/11/2000
7/26/2000
10/30/2000
1/31/2001
5/9/2001
7/26/2001
10/30/2001
2/11/2002
5/23/2002
7/22/2002
10/30/2002
1/29/2003
5/29/2003
7/25/2003
10/30/2003
1/29/2004
5/27/2004
7/28/2004
10/27/2004
1/27/2005
5/25/2005
7/27/2005
10/27/2005
1/25/2006
5/25/2006
7/27/2006
10/26/2006
2/1/2007
5/7/2007
8/2/2007
11/1/2007
1/30/2008
5/21/2008
7/31/2008
10/30/2008
1/29/2009
5/21/2009
7/29/2009
10/28/2009
1/27/2010
5/19/2010
7/28/2010
10/20/2010
1/26/2011
5/11/2011
7/20/2011
10/19/2011
1/18/2012
5/16/2012
7/18/2012
10/24/2012
1/24/2013
5/22/2013
7/24/2013
10/23/2013
1/22/2014
5/21/2014
7/23/2014
10/22/2014
1/22/2015
5/20/2015
7/22/2015
10/22/2015
1/21/2016
05/19/2016
07/21/2016
10/26/2016
01/25/2017
05/18/2017
