HVT
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/18/1996
2/5/1997
4/18/1997
7/17/1997
10/16/1997
1/8/1998
4/16/1998
7/16/1998
10/14/1998
2/4/1999
4/15/1999
7/15/1999
10/15/1999
2/3/2000
4/14/2000
7/19/2000
10/24/2000
2/6/2001
5/15/2001
7/25/2001
10/24/2001
2/8/2002
4/24/2002
7/24/2002
10/24/2002
2/14/2003
4/24/2003
7/31/2003
10/29/2003
2/12/2004
4/28/2004
7/28/2004
10/28/2004
3/1/2005
5/2/2005
8/1/2005
11/1/2005
2/21/2006
5/1/2006
8/2/2006
11/2/2006
2/20/2007
5/2/2007
8/2/2007
11/1/2007
2/22/2008
4/30/2008
8/8/2008
11/5/2008
2/19/2009
5/6/2009
8/5/2009
11/4/2009
3/1/2010
5/5/2010
8/4/2010
11/3/2010
2/28/2011
5/4/2011
8/3/2011
11/2/2011
2/27/2012
5/2/2012
8/1/2012
10/31/2012
2/25/2013
5/1/2013
7/31/2013
10/30/2013
2/24/2014
5/1/2014
7/30/2014
10/29/2014
2/23/2015
5/4/2015
7/29/2015
10/28/2015
2/24/2016
05/02/2016
08/01/2016
10/31/2016
02/21/2017
05/01/2017
