MWT
LATEST_ANNOUNCEMENT_DT
5/13/1996
8/13/1996
11/19/1996
2/13/1997
5/13/1997
8/12/1997
11/19/1997
2/12/1998
5/13/1998
8/13/1998
11/19/1998
2/11/1999
5/13/1999
8/12/1999
11/18/1999
2/11/2000
5/23/2000
